time,consumption,production,day,production1
2:55:00,4345.786072,-3934.304156,Friday,3934.304156
3:00:00,4324.645251,-3939.82421,Friday,3939.82421
3:05:00,4352.425549,-3962.363728,Friday,3962.363728
3:10:00,4370.371685,-3975.871321,Friday,3975.871321
3:15:00,4387.621741,-3973.816992,Friday,3973.816992
3:20:00,4398.309099,-3992.570014,Friday,3992.570014
3:25:00,4388.163806,-3907.480928,Friday,3907.480928
3:30:00,4387.012063,-3910.041725,Friday,3910.041725
3:35:00,4412.976432,-3914.361456,Friday,3914.361456
3:40:00,4423.68834,-3937.980678,Friday,3937.980678
3:45:00,4388.813024,-3932.211751,Friday,3932.211751
3:50:00,4399.218374,-3936.710208,Friday,3936.710208
3:55:00,4426.345341,-3931.854549,Friday,3931.854549
4:00:00,4415.387568,-3906.173466,Friday,3906.173466
4:05:00,4405.734696,-3881.030593,Friday,3881.030593
4:10:00,4437.825511,-3894.529783,Friday,3894.529783
4:15:00,4456.608361,-3877.956454,Friday,3877.956454
4:20:00,4462.4467,-3887.804042,Friday,3887.804042
4:25:00,4473.978207,-3883.065831,Friday,3883.065831
4:30:00,4503.153945,-3878.279742,Friday,3878.279742
4:35:00,4530.233472,-3880.789623,Friday,3880.789623
4:40:00,4536.105462,-3875.339561,Friday,3875.339561
4:45:00,4571.81142,-3907.316976,Friday,3907.316976
4:50:00,4605.978193,-3950.99438,Friday,3950.99438
4:55:00,4618.717371,-3945.103206,Friday,3945.103206
5:00:00,4678.988586,-3885.761031,Friday,3885.761031
5:05:00,4533.797727,-3803.559203,Friday,3803.559203
5:10:00,4563.013397,-3821.355419,Friday,3821.355419
5:15:00,4564.362259,-3871.876057,Friday,3871.876057
5:20:00,4625.562575,-3872.816135,Friday,3872.816135
5:30:00,4656.698673,-3895.487905,Friday,3895.487905
5:35:00,4672.141484,-3928.344869,Friday,3928.344869
5:40:00,4694.754757,-3923.417191,Friday,3923.417191
5:45:00,4694.127528,-3932.772052,Friday,3932.772052
5:50:00,4728.013713,-3944.615613,Friday,3944.615613
5:55:00,4740.404347,-3952.310562,Friday,3952.310562
6:00:00,4810.07475,-3902.707072,Friday,3902.707072
6:05:00,4758.024593,-4000.222444,Friday,4000.222444
6:10:00,4756.562197,-3987.426191,Friday,3987.426191
6:15:00,4747.606058,-3946.43245,Friday,3946.43245
6:20:00,4761.847665,-3961.93066,Friday,3961.93066
6:25:00,4764.084825,-3952.282514,Friday,3952.282514
6:30:00,4756.318111,-3952.698774,Friday,3952.698774
6:35:00,4722.576913,-3967.915805,Friday,3967.915805
6:40:00,4727.917928,-3953.566897,Friday,3953.566897
6:45:00,4731.755042,-3973.148041,Friday,3973.148041
6:50:00,4740.834414,-3949.41508,Friday,3949.41508
6:55:00,4728.255949,-3955.345005,Friday,3955.345005
7:00:00,4617.093022,-3973.09113,Friday,3973.09113
7:05:00,4485.851949,-4183.095444,Friday,4183.095444
7:10:00,4470.300914,-4191.710393,Friday,4191.710393
7:15:00,4458.573837,-4168.801561,Friday,4168.801561
7:25:00,4443.064175,-4149.612756,Friday,4149.612756
7:30:00,4444.46725,-4143.117347,Friday,4143.117347
7:35:00,4434.934344,-4155.348424,Friday,4155.348424
7:40:00,4382.444472,-4200.334775,Friday,4200.334775
7:45:00,4391.767826,-4219.200256,Friday,4219.200256
7:50:00,4380.219887,-4195.053008,Friday,4195.053008
7:55:00,4350.501627,-4229.960735,Friday,4229.960735
8:00:00,4328.38756,-4196.030777,Friday,4196.030777
8:05:00,4371.02804,-4051.574157,Friday,4051.574157
8:10:00,4461.048725,-4016.914969,Friday,4016.914969
8:15:00,4520.498689,-4011.835806,Friday,4011.835806
8:20:00,4515.217775,-4023.93562,Friday,4023.93562
8:25:00,4490.003579,-4020.986116,Friday,4020.986116
8:30:00,4490.943301,-3943.426501,Friday,3943.426501
8:40:00,4445.707307,-3960.721084,Friday,3960.721084
8:45:00,4455.242115,-3970.753753,Friday,3970.753753
8:50:00,4451.667098,-3963.226711,Friday,3963.226711
8:55:00,4401.641283,-4100.744765,Friday,4100.744765
9:00:00,4380.48592,-4037.97081,Friday,4037.97081
9:05:00,4390.358678,-3884.118081,Friday,3884.118081
9:10:00,4391.572338,-3877.918105,Friday,3877.918105
9:15:00,4366.516093,-3895.040981,Friday,3895.040981
